tokens;tags
Wie lange dauert der Einsatz bei Frau Abseher heute;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person, B-Time]  
Wann ist mein nächster Einsatz heute;[B-Time, O, O, B-Task, I-Task, B-Time]  
Wie viele Minuten habe ich noch für den aktuellen Einsatz;[B-Time, I-Time, B-Entity, O, O, B-Task, I-Task]  
Wann ist der Einsatz von heute beendet;[B-Time, O, O, B-Task, I-Task, B-Time]  
Wie viele Einsätze habe ich heute noch;[B-Entity, O, O, B-Task, I-Task, B-Time]  
Was ist der Name des aktuellen Klienten;[O, B-Entity, O, B-Person]  
Wer ist die Klientin beim nächsten Einsatz;[O, B-Entity, O, B-Person, I-Person]  
Wie alt ist der Patient heute;[B-Entity, B-Entity, O, O, B-Person, I-Person]  
Wer war gestern beim Patienten Peter Pan;[O, O, O, B-Time, I-Time, O, B-Person, I-Person, B-Action]  
Wann hat Herr Kosmos zuletzt eine Betreuung gehabt;[O, O, O, B-Time, I-Time, O, B-Person, I-Person, B-Action]  
Trage den Kilometerstand 49768 als Startkilometer ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]  
"Trage im Fahrtenbuch die Notiz ""länger gefahren wegen Stau"" ein";[B-Action, O, B-Entity, O, B-Entity, O, O]  
Welches Auto benutze ich für den heutigen Einsatz;[O, O, B-Entity, O, B-Time, O, B-Task]  
"Schreibe eine Notiz im Fahrtenbuch: ""rechter Blinker geht nicht mehr""";[B-Action, O, B-Entity, O, B-Entity, O, O]  
Wie weit ist es zum nächsten Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]  
Rufe die Angehörigen von Herrn Schmidt an;[B-Action, B-Person, O, B-Person, I-Person, B-Action]  
Ruf Frau Müller an, um die Einsatzdetails zu besprechen;[B-Action, B-Person, I-Person, O, B-Task, O]  
Rufe die Kontaktperson für den nächsten Einsatz an;[B-Action, B-Person, O, B-Task, I-Task, B-Action]  
Starte einen Anruf bei der Klientin Lisa Tesser;[B-Action, B-Person, I-Person, O, B-Task, O]  
Angehörige des Klienten anrufen;[B-Action, B-Person, O, B-Person, I-Person, B-Action]  
"Merke dir die Notiz: ""Klient wünscht eine Änderung""";[B-Action, O, O, B-Entity, O]  
"Füge eine Notiz zum Einsatz hinzu: ""Herr Tumper hat nun eine Katze""";[B-Action, O, B-Entity, O, B-Entity, O, O]  
"Schreibe die Notiz für den Einsatz ""Arztbesuch notwendig"" auf";[B-Action, O, B-Entity, O, B-Entity, O, O]  
Notiere, dass ich um 10 Uhr beim Einsatz sein muss;[B-Action, O, O, B-Task, O, B-Time]  
"Notiz: ""Klient möchte morgen früher betreut werden""";[B-Action, O, O, B-Entity, O, B-Time]  
Wann muss ich morgen beim ersten Einsatz sein;[B-Time, O, O, B-Task, I-Task, B-Time]  
Wie lange dauert die Fahrt zum nächsten Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]  
Wann endet mein letzter Einsatz heute;[B-Time, O, O, B-Task, I-Task, B-Time]  
Wie viel Zeit habe ich bis zum nächsten Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]  
Wann beginnt mein Einsatz morgen früh;[B-Time, O, O, B-Task, I-Task, B-Time]  
