tokens;ner_tags
Habe ich heute noch Einsätze;[O, O, B-Time, B-Entity, B-Task]
Habe ich alle Einsätze abgearbeitet;[O, O, B-Task, I-Task, B-Entity]
Sind alle Einsätze fertig;[O, B-Task, I-Task, B-Entity]
Sind alle Patientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Sind alle Klientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Wie viele Einsätze habe ich heute noch;[B-Entity, I-Entity, B-Task, O, O, B-Time, B-Entity]
Welche Patienten muss ich heute noch besuchen;[B-Person, I-Person, O, O, B-Time, B-Entity, I-Entity]
Welche Klienten muss ich heute noch versorgen;[B-Person, I-Person, O, O, B-Time, B-Entity, I-Entity]
Liste alle Einsätze von heute auf.;[B-Action, B-Task, I-Task, O, B-Time, O]
Wie viele Einsätze habe ich heute;[B-Entity, I-Entity, B-Task, O, O, B-Time]
Welche Klienten muss ich heute besuchen;[B-Person, I-Person, O, O, B-Time, B-Entity]
Wie lange war mein Einsatz bei Frau Lehmann heute Morgen;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person, B-Time, I-Time]
Wie lange war mein Einsatz bei Herrn Abraham;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person]
Wie lange habe ich Mittagspause;[B-Time, I-Time, O, O, B-Entity]
Wann beginnt mein nächster Einsatz;[B-Time, B-Time, O, B-Task, I-Task]
Wie viel Zeit bleibt mir bis zum nächsten Einsatz;[B-Time, I-Time, I-Time, O, O, O, O, B-Task, I-Task]
Wie viele Kilometer bin ich heute gefahren;[B-Entity, I-Entity, I-Entity, O, O, B-Time, B-Entity]
Wie lange habe ich für den Einsatz bei Frau Kraznec gebraucht;[B-Time, I-Time, O, O, O, O, B-Task, O, B-Person, I-Person, B-Entity]
Habe ich heute alle Fahrten im Fahrtenbuch eingetragen;[B-Entity, O, B-Time, B-Entity, I-Entity, O, B-Entity, B-Task]
Sind alle Kilometerstände für heute im Fahrtenbuch hinterlegt;[O, B-Entity, I-Entity, O, B-Time, O, B-Entity, B-Action]
Fehlen Einträge im Fahrtenbuch;[B-Entity, I-Entity, O, B-Entity]
Trage eine Fahrt von der Pflegezentrale zur Adresse von Herrn Becker ein.;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Dokumentiere die Fahrt von Frau Meier zu Herrn Weber um 10:30 Uhr.;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Person, I-Person, O, B-Time, I-Time]
Wann habe ich Herrn Münster heute besucht;[B-Time,O, O, B-Person, I-Person, B-Time, B-Entity]
Wann war ich bei Frau Münster;[B-Time, I-Time, O, O, B-Person, I-Person]
Herr Weber möchte morgen früher aufstehen – bitte notieren;[B-Person, I-Person, O, B-Time, I-Time, B-Action, O, B-Action]
Anmerkung notieren: Frau Amber benötigt öfter Hilfe;[B-Entity, B-Action, B-Person, I-Person, O, B-Entity, I-Entity]
Dokumentiere, dass Frau Lehmann eine besondere Ernährungsanweisung hat;[B-Action, O, B-Person, I-Person, O, O, B-Entity, O]
Dokumentiere, dass Herr Gupta nur vegan isst;[B-Action, O, B-Person, I-Person, O, B-Entity, O]
Dokumentiere, dass Herr Umbabwe eine vegetarische Ernährung hat;[B-Action, O, B-Person, I-Person, O, B-Entity, O, O]
notiere: Herr Meier hat um zusätzliche Decken gebeten;[B-Action, B-Person, I-Person, O, O, B-Entity, I-Entity, O]
Notiere, dass Frau Müller heute ihre Familie sehen möchte;[B-Action, O, B-Person, I-Person, B-Time, O, B-Entity, B-Action, O]
Herr Becker hat nach zusätzlichen Schmerzmitteln gefragt – bitte dokumentieren;[B-Person, I-Person, O, O, B-Entity, I-Entity, O, O, B-Action]
Hat Frau Schmitt besondere Wünsche für den nächsten Einsatz;[O, B-Person, I-Person, B-Entity, I-Entity, O, O, B-Task, I-Task]
Notiere, dass Herr Weber eine neue Brille braucht;[B-Action, O, B-Action, I-Action, O, B-Entity, I-Entity, O]
Anmerkung erfassen: Frau Erber möchte nicht alleine essen;[B-Action, I-Action, B-Person, I-Person, O, B-Entity, I-Entity, B-Action]
Gibt es zum letzten Einsatz des Patienten Notizen;[B-Entity, O, O, B-Task, I-Task, O, B-Person, B-Entity]
Sind alle heutigen Aufgaben erledigt;[O, B-Entity, I-Entity, I-Entity, B-Entity]
Erstelle einen Bericht über die Fahrten von heute;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Time]
Liste alle Fahrten für heute auf;[B-Action, B-Entity, I-Entity, O, B-Time, O]
Zeige mir eine Liste aller offenen Aufgaben für morgen;[B-Action, O, O, B-Entity, B-Entity, I-Entity, I-Entity, O, B-Time]
Wie viele Einsätze habe ich morgen;[B-Entity, I-Entity, B-Entity, O, O, B-Time]
Wie viele Termine habe ich morgen;[B-Entity, I-Entity, B-Entity, O, O, B-Time]
Wie viele Patienten muss ich morgen betreuen;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Action]
Wie viele Klienten besuche ich morgen;[B-Entity, I-Entity, B-Person, B-Action, O, B-Time]
Trage den Blutdruck von Herrn Schmidt ein 120/80;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity]
Notiere Blutdruck von Herrn Sel 120/80;[B-Action, B-Entity, O, B-Person, I-Person, B-Entity]
Trage den Blutdruck von Frau Arnolds mit 115/75 ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, O]
Notiere die Temperatur bei Frau Müller mit 37,5 Grad;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Blutdruck für den aktuellen Patienten erfassen: 120/75;[B-Entity, O, O, B-Person, I-Person, B-Action, B-Entity]
Trage die Temperatur bei Herbert Tiele mit 37,5 Grad ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity, O]
Trage aktuelles Gewicht bei Walter Silbers ein 85 kilogramm;[B-Action, B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Aktuelles Gewicht eintragen 85 kilogramm;[B-Entity, I-Entity, B-Action, B-Entity, I-Entity]
Erfasse den Puls von Frau Mixxner mit 85 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Notiere den Puls von Julius Meindl mit 90 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Puls eintragen 77 BPM;[B-Entity, B-Action, B-Entity, I-Entity]
Trage den Puls von Julian Terminor ein 79 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity,  I-Entity]
Wie hoch war der letzte gemessene Puls;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, I-Entity]
Wie war der zuletzt gemessene Puls bei Herrn Andrews;[B-Entity, O, O, B-Entity, I-Entity, I-Entity, O, B-Person, I-Person]
Sag mir den zuletzt gemessenen Pulswert;[B-Action, O, O, B-Entity, I-Entity, I-Entity]
Letzter Pulswert für Frau Berter;[B-Entity, I-Entity, O, B-Person, I-Person]
Was ist der letzte eingetragene Pulswert für den Patienten;[O, O, O, B-Entity, I-Entity, I-Entity, O, O, B-Person]
Was ist der letzte eingetragene Pulswert für die Klientin;[O, O, O, B-Entity, I-Entity, I-Entity, O, O, B-Person]
Was ist der letzte Pulswert für die Patientin;[O, O, O, B-Entity, I-Entity, O, O, B-Person]
Was ist der letzte Pulswert für den Klienten;[O, O, O, B-Entity, I-Entity, O, O, B-Person]
Wie hoch war das Gewicht bei der letzten Messung;[B-Entity, I-Entity, O, O, B-Entity, O, O, B-Entity, I-Entity]
Wie hoch war das letzte Gewicht von Frau Weber;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, O, B-Person, I-Person]
Wie hoch war das letzte Gewicht des Patienten;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, O, B-Person]
Wie schwer war Frau Dezlic beim letzten mal;[B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Wie schwer war der Klient beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war Herr Bezemek beim letzten mal;[B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Wie schwer war die Klientin beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war der Patient beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war die Patientin beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Hat Frau Jennefer seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, O, O, B-Entity]
Hat Herr Hengster seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, O, O, B-Entity]
Hat der Patient zugenommen;[O, O, B-Person, B-Entity]
Hat die Patientin abgenommen;[O, O, B-Person, B-Entity]
Hat der Klient abgenommen;[O, O, B-Person, B-Entity]
Hat die Klientin zugenommen;[O, O, B-Person, B-Entity]
Welchen Blutdruck hatte Herr Becker heute Morgen;[O, B-Entity, O, B-Person, I-Person, B-Time, I-Time]
Wie hoch war der Blutdruck von Frau Terrera letztes mal;[B-Entity, I-Entity, O, O, B-Entity, O, B-Person, I-Person, B-Entity, I-Entity]
Wie hoch war der Blutdruck von Herrn Zystal;[B-Entity, I-Entity, O, O, B-Entity, O, B-Person, I-Person]
Welche Vitalparameter habe ich bei Frau Müller heute schon erfasst;[B-Entity, I-Entity, O, O, O, B-Person, I-Person, B-Time, O, B-Entity]
