tokens;ner_tags
Beende den aktuellen Einsatz;[B-Action, O, B-Time, B-Task]
Beende den aktuellen Einsatz in 5 Minuten;[B-Action, O, B-Time, B-Task, O, B-Time, I-Time]
Aktuellen Einsatz beenden;[B-Time, B-Task, B-Action]
Einsatz beenden;[B-Task, B-Action]
Zeiterfassung für den aktuellen Einsatz beenden;[B-Entity, O, O, B-Time, B-Task, B-Action]
Zeiterfassung für meinen aktuellen Einsatz beenden;[B-Entity, O, O, B-Time, B-Task, B-Action]
Beende die Zeiterfassung für meinen aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Time, B-Task]
Beende die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Time, B-Task]
Beende die Zeiterfassung für den Einsatz;[B-Action, O, B-Entity, O, O, B-Task]
Einsatz jetzt beenden;[B-Task, B-Time, B-Action]
Einsatz beenden;[B-Task, B-Action]
Beende den Einsatz bei Frau Anders;[B-Action, O, B-Task, O, B-Person, I-Person]
Welche Klienten habe ich heute besucht;[O, B-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute besucht;[O, B-Person, O, O, B-Time, B-Entity]
Welche Klienten habe ich heute betreut;[O, B-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute betreut;[O, B-Person, O, O, B-Time, B-Entity]
Wie viele Klienten habe ich heute betreut;[B-Question, I-Question, B-Person, O, O, B-Time, B-Entity]
Wie viele Patienten habe ich heute betreut;[B-Question, I-Question, B-Person, O, O, B-Time, B-Entity]
Wie heißen die Klienten die ich heute besucht habe;[B-Question, I-Question, O, B-Person, O, O, B-Time, B-Entity, O]
Wie heißen die Patienten die ich heute besucht habe;[B-Question, I-Question, O, B-Person, O, O, B-Time, B-Entity, O]
Welche Patientinnen habe ich heute besucht;[O, B-Person, O, O, B-Time, B-Entity]
Welche Klienteninnen habe ich heute betreut;[O, B-Person, O, O, B-Time, B-Entity]
Habe ich heute noch Einsätze;[O, O, B-Time, O, B-Task]
Habe ich alle Einsätze abgearbeitet;[O, O, B-Task, I-Task, B-Action]
Sind alle Einsätze fertig;[O, B-Task, I-Task, B-Task]
Sind alle Patientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Sind alle Klientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Wie viele Einsätze habe ich heute noch;[B-Question, I-Question, B-Task, O, O, B-Time, O]
Welche Patienten muss ich heute noch besuchen;[O, B-Person, O, O, B-Time, O, B-Entity]
Welche Klienten muss ich heute noch versorgen;[O, B-Person, O, O, B-Time, O, B-Entity]
Liste alle Einsätze von heute auf.;[B-Action, B-Task, I-Task, O, B-Time, O]
Wie viele Einsätze habe ich heute;[B-Question, I-Question, B-Task, O, O, B-Time]
Welche Klienten muss ich heute besuchen;[O, B-Person, O, O, B-Time, B-Entity]
Wie lange war mein Einsatz bei Frau Lehmann heute Morgen;[B-Question, I-Question, O, O, B-Task, O, B-Person, I-Person, B-Time, I-Time]
Wie lange war mein Einsatz bei Herrn Abraham;[B-Question, I-Question, O, O, B-Task, O, B-Person, I-Person]
Wie lange habe ich Mittagspause;[B-Question, I-Question, O, O, B-Entity]
Wann beginnt mein nächster Einsatz;[B-Time, B-Time, O, B-Time, B-Task]
Wie viel Zeit bleibt mir bis zum nächsten Einsatz;[B-Question, I-Question, B-Time, O, O, O, O, B-Time, B-Task]
Wie viele Kilometer bin ich heute gefahren;[B-Question, I-Question, B-Entity, O, O, B-Time, B-Entity]
Wie lange habe ich für den Einsatz bei Frau Kraznec gebraucht;[B-Question, I-Question, O, O, O, O, B-Task, O, B-Person, I-Person, B-Entity]
Habe ich heute alle Fahrten im Fahrtenbuch eingetragen;[O, O, B-Time, B-Entity, I-Entity, O, B-Entity, B-Entity]
Sind alle Kilometerstände für heute im Fahrtenbuch hinterlegt;[O, B-Entity, I-Entity, O, B-Time, O, B-Entity, B-Action]
Fehlen Einträge im Fahrtenbuch;[B-Action, B-Entity, O, B-Entity]
Trage eine Fahrt von der Pflegezentrale zur Adresse von Herrn Becker ein.;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Dokumentiere die Fahrt von Frau Meier zu Herrn Weber um 10:30 Uhr.;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Person, I-Person, O, B-Time, I-Time]
Wann habe ich Herrn Münster heute besucht;[B-Time, O, O, B-Person, I-Person, B-Time, B-Entity]
Wann war ich bei Frau Münster;[B-Time, I-Time, O, O, B-Person, I-Person]
Herr Weber möchte morgen früher aufstehen – bitte notieren;[B-Person, I-Person, O, B-Time, I-Time, B-Action, O, O, B-Action]
Anmerkung notieren: Frau Amber benötigt öfter Hilfe;[B-Entity, B-Action, B-Person, I-Person, O, O, B-Entity]
Dokumentiere, dass Frau Lehmann eine besondere Ernährungsanweisung hat;[B-Action, O, B-Person, I-Person, O, O, B-Entity, O]
Dokumentiere, dass Herr Gupta nur vegan isst;[B-Action, O, B-Person, I-Person, O, B-Entity, O]
Dokumentiere, dass Herr Umbabwe eine vegetarische Ernährung hat;[B-Action, O, B-Person, I-Person, O, B-Entity, I-Entity, O]
notiere: Herr Meier hat um zusätzliche Decken gebeten;[B-Action, B-Person, I-Person, O, O, O, B-Entity, O]
Notiere, dass Frau Müller heute ihre Familie sehen möchte;[B-Action, O, B-Person, I-Person, B-Time, O, B-Entity, B-Action, O]
Herr Becker hat nach zusätzlichen Schmerzmitteln gefragt – bitte dokumentieren;[B-Person, I-Person, O, O, O, B-Entity, O, O, O, B-Action]
Hat Frau Schmitt besondere Wünsche für den nächsten Einsatz;[O, B-Person, I-Person, O, B-Entity, O, O, B-Time, B-Task]
Notiere, dass Herr Weber eine neue Brille braucht;[B-Action, O, B-Person, I-Person, O, O, B-Entity, O]
Anmerkung erfassen: Frau Erber möchte nicht alleine essen;[B-Entity, B-Action, B-Person, I-Person, O, O, O, B-Action]
Gibt es zum letzten Einsatz des Patienten Notizen;[O, O, O, B-Time, B-Task, O, B-Person, B-Action]
Sind alle heutigen Aufgaben erledigt;[O, B-Time, B-Time, B-Entity, B-Task]
Erstelle einen Bericht über die Fahrten von heute;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Time]
Liste alle Fahrten für heute auf;[B-Action, B-Entity, I-Entity, O, B-Time, O]
Zeige mir eine Liste aller offenen Aufgaben für morgen;[B-Action, O, O, B-Entity, B-Entity, I-Entity, I-Entity, O, B-Time]
Wie viele Einsätze habe ich morgen;[B-Question, I-Question, B-Task, O, O, B-Time]
Wie viele Termine habe ich morgen;[B-Question, I-Question, B-Task, O, O, B-Time]
Wie viele Patienten muss ich morgen betreuen;[B-Question, I-Question, B-Person, O, O, B-Time, B-Action]
Wie viele Klienten besuche ich morgen;[B-Question, I-Question, B-Person, B-Action, O, B-Time]
Trage den Blutdruck von Herrn Schmidt ein 120/80;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity]
Notiere Blutdruck von Herrn Sel 120/80;[B-Action, B-Entity, O, B-Person, I-Person, B-Entity]
Trage den Blutdruck von Frau Arnolds mit 115/75 ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, O]
Notiere die Temperatur bei Frau Müller mit 37,5 Grad;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Blutdruck für den aktuellen Patienten erfassen: 120/75;[B-Entity, O, O, B-Time, B-Person, B-Action, B-Entity]
Trage die Temperatur bei Herbert Tiele mit 37,5 Grad ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity, O]
Trage aktuelles Gewicht bei Walter Silbers ein 85 kilogramm;[B-Action, B-Time, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Aktuelles Gewicht eintragen 85 kilogramm;[B-Time, B-Entity, B-Action, B-Entity, I-Entity]
Erfasse den Puls von Frau Mixxner mit 85 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Notiere den Puls von Julius Meindl mit 90 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Puls eintragen 77 BPM;[B-Entity, B-Action, B-Entity, I-Entity]
Trage den Puls von Julian Terminor ein 79 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity,  I-Entity]
Wie hoch war der letzte gemessene Puls;[B-Question, I-Question, O, O, B-Time, O, B-Entity]
Wie war der zuletzt gemessene Puls bei Herrn Andrews;[B-Question, I-Question, O, B-Time, O, B-Entity, O, B-Person, I-Person]
Sag mir den zuletzt gemessenen Pulswert;[B-Action, O, O, B-Time, O, B-Entity]
Letzter Pulswert für Frau Berter;[B-Time, B-Entity, O, B-Person, I-Person]
Was ist der letzte eingetragene Pulswert für den Patienten;[O, O, O, B-Time, B-Entity, I-Entity, O, O, B-Person]
Was ist der letzte eingetragene Pulswert für die Klientin;[O, O, O, B-Time, B-Entity, I-Entity, O, O, B-Person]
Was ist der letzte Pulswert für die Patientin;[O, O, O, B-Time, B-Entity, O, O, B-Person]
Was ist der letzte Pulswert für den Klienten;[O, O, O, B-Time, B-Entity, O, O, B-Person]
Wie hoch war das Gewicht bei der letzten Messung;[B-Question, I-Question, O, O, B-Entity, O, O, B-Time, B-Entity]
Wie hoch war das letzte Gewicht von Frau Weber;[B-Question, I-Question, O, O, B-Time, B-Entity, O, B-Person, I-Person]
Wie hoch war das letzte Gewicht des Patienten;[B-Question, I-Question, O, O, B-Time, B-Entity, O, B-Person]
Wie schwer war Frau Dezlic beim letzten mal;[B-Question, I-Question, O, B-Person, I-Person, O, B-Time, I-Time]
Wie schwer war der Klient beim letzten mal;[B-Question, I-Question, O, O, B-Person, O, B-Time, I-Time]
Wie schwer war Herr Bezemek beim letzten mal;[B-Question, I-Question, O, B-Person, I-Person, O, B-Time, I-Time]
Wie schwer war die Klientin beim letzten mal;[B-Question, I-Question, O, O, B-Person, O, B-Time, I-Time]
Wie schwer war der Patient beim letzten mal;[B-Question, I-Question, O, O, B-Person, O, B-Time, I-Time]
Wie schwer war die Patientin beim letzten mal;[B-Question, I-Question, O, O, B-Person, O, B-Time, I-Time]
Hat Frau Jennefer seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, B-Time, I-Time, I-Entity]
Hat Herr Hengster seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, B-Time, I-Time, I-Entity]
Hat der Patient zugenommen;[O, O, B-Person, B-Entity]
Hat die Patientin abgenommen;[O, O, B-Person, B-Entity]
Hat der Klient abgenommen;[O, O, B-Person, B-Entity]
Hat die Klientin zugenommen;[O, O, B-Person, B-Entity]
Welchen Blutdruck hatte Herr Becker heute Morgen;[O, B-Entity, O, B-Person, I-Person, B-Time, I-Time]
Wie hoch war der Blutdruck von Frau Terrera letztes mal;[B-Question, I-Question, O, O, B-Entity, O, B-Person, I-Person, B-Time, B-Entity]
Wie hoch war der Blutdruck von Herrn Zystal;[B-Question, I-Question, O, O, B-Entity, O, B-Person, I-Person]
Welche Vitalparameter habe ich bei Frau Müller heute schon erfasst;[O, B-Entity, O, O, O, B-Person, I-Person, B-Time, O, B-Entity]
Kontaktiere Frau Meier; [B-Action, B-Person, I-Person]
Wie lange dauert der kommende Einsatz noch; [B-Question, I-Question, O, O, B-Time, B-Task, O]
Wie lange dauert wohl der Einsatz bei Frau Juric heute; [B-Question, I-Question, O, O, O, B-Task, O, B-Person, I-Person, B-Time]
Starte Einsatz; [B-Action, B-Task]
Trage den Kilometerstand 50234 als Startkilometer ein; [B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Trage den Kilometerstand 999 als Startkilometer ein; [B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Wann startet morgen mein erster Einsatz; [B-Time, B-Action, B-Time, O, B-Time, B-Task]
Starte den Einsatz bei Herrn Gettinger um 08:00;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Beginne den Einsatz bei Frau Franz um 09:30;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Starte den Einsatz um 10:45;[B-Action, O, B-Task, O, B-Time]
Merke den Kilometerstand 1111 als Startkilometer; [B-Action, O, B-Entity, B-Distance, O, B-Entity]
Wie viele Einsätze habe ich noch;[B-Question, I-Question, B-Task, O, O, O]
Wie viele Termine habe ich heute noch;[B-Question, I-Question, B-Task, O, O, B-Time, O]
Habe ich noch Einsätze;[O, O, O, B-Task]
Bin ich fertig für heute;[O, O, B-Task, O, B-Time]
Bin ich für heute fertig;[O, O, O, B-Time, B-Task]
Sind alle Patienten betreut;[O, B-Person, I-Person, B-Entity]
Hab ich alle Klientinnen versorgt;[O, O, B-Person, I-Person, B-Entity]
War ich bei allen Patientinnen;[B-Question, O, O, B-Person, I-Person]
Hab ich alle Patienten versorgt;[O, O, B-Person, I-Person, B-Entity]
Welche Vitalparameter wurden zuletzt für Herr Münster gemessen;[O, B-Entity, O, B-Time, O, B-Person, I-Person, B-Entity]
Welche Vitalparameter wurden zuletzt für Frau Archleitner gemessen;[O, B-Entity, O, B-Time, O, B-Person, I-Person, B-Entity]
Zeige mir die Vitalwerte von heute Morgen für Frau Zumba;[B-Action, O, O, B-Entity, O, B-Time, I-Time, O, B-Person, I-Person]
Zeige mir die Vitalwerte von heute Morgen für Herrn Altmünster;[B-Action, O, O, B-Entity, O, B-Time, I-Time, O, B-Person, I-Person]
Sag mir die Vitalwerte von heute Morgen für Herrn Turner;[B-Action, O, O, B-Entity, O, B-Time, I-Time, O, B-Person, I-Person]
Was sind die Vitalwerte von heute Morgen für Frau Bethesta;[O, O, O, B-Entity, O, B-Time, I-Time, O, B-Person, I-Person]
Wie hoch war der Blutdruck von Frau Uyen gestern;[B-Question, I-Question, O, O, B-Entity, O, B-Person, I-Person, B-Time]
Wie hoch war der gemessene Blutdruck von Frau Uzgül gestern ;[B-Question, I-Question, O, O, O, B-Entity, O, B-Person, I-Person, B-Time]
Wie hoch war der letzt gemessene Blutdruck von Frau Cemnica;[B-Question, I-Question, O, O, B-Time, O, B-Entity, O, B-Person, I-Person]
Wie hoch war der Blutdruck von Herrn Teslaron gestern;[B-Question, I-Question, O, O, B-Entity, O, B-Person, I-Person, B-Time]
Wie hoch war der gemessene Blutdruck von Herrn Bartholomeon gestern ;[B-Question, I-Question, O, O, O, B-Entity, O, B-Person, I-Person, B-Time]
Wie hoch war der letzt gemessene Blutdruck von Herrn Currentny;[B-Question, I-Question, O, O, B-Time, O, B-Entity, O, B-Person, I-Person]
Wie hoch war der zuletzt gemessene Blutdruck von Frau Erikkson;[B-Question, I-Question, O, O, B-Time, O, B-Entity, O, B-Person, I-Person]
Wie war der Blutzuckerwert von Frau Demmertia gestern Abend;[B-Question, I-Question, O, B-Entity, O, B-Person, I-Person, B-Time, I-Time]
Wie war der Blutzuckerwert von Herrn Lerroy gestern;[B-Question, I-Question, O, B-Entity, O, B-Person, I-Person, B-Time]
Trage den Puls von 72 für Frau Bertel ein;[B-Action, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Trage den Puls von 80 für Herrn Therrelon ein;[B-Action, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Trage den Puls von 63 für Frau Umercek ein;[B-Action, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Notiere eine Körpertemperatur von 37,8 Grad Celsius für Frau Herberl;[B-Action, O, B-Entity, O, B-Entity, I-Entity, B-Entity, O, B-Person, I-Person]
Notiere eine Körpertemperatur von 40 Grad Celsius für Herrn Zehetner;[B-Action, O, B-Entity, O, B-Entity, I-Entity, B-Entity, O, B-Person, I-Person]
Ergänze eine Atemfrequenz von 20 mit der Notiz: Patient entspannt;[B-Action, O, B-Entity, O, B-Entity, O, O, B-Action, B-Person, B-Entity]
Ergänze eine Atemfrequenz von 21 mit der Notiz: Klientin entspannt;[B-Action, O, B-Entity, O, B-Entity, O, O, B-Action, B-Person, B-Entity]
