tokens;ner_tags
Trage den Kilometerstand 666 als Startstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Trage den Kilometerstand 999 als Endstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Mit welchem Auto fahre ich heute zum Einsatz;[O, O, B-Entity, O, O, B-Time, O, B-Task]
Trage im Fahrtenbuch folgende Notiz ein;[B-Action, O, B-Entity, O, B-Action, O]
Wie ist der Name des Klienten;[O, O, O, B-Entity, O, B-Person]
Wie ist der Name der Klientin;[O, O, O, B-Entity, O, B-Person]
Wer hat das letzte Mal die Klientin Ute Maier betreut;[O, O, O, B-Time, I-Time, O, B-Person, I-Person, I-Person, B-Entity]
Starte den Einsatz;[B-Action, O, B-Task]
Beende den Einsatz;[B-Action, O, B-Task]
Wie heißt die klientin;[O, B-Entity, O, B-Person]
Wie heißt der Klient;[O, B-Entity, O, B-Person]
Wie lange zum nächsten Einsatz;[B-Time, I-Time, O, B-Task, I-Task]
Wie lange dauert der aktuelle Einsatz;[B-Time, I-Time, B-Entity, O, B-Task, I-Task]
Starte Einsatz;[B-Action, B-Task]
Beende Einsatz;[B-Action, B-Task]
Rufe Angehörige an;[B-Action, B-Person, O]
Rufe Angehörigen an;[B-Action, B-Person, O]
Wie viel Zeit bleibt mir für den aktuellen Einsatz noch;[B-Time, I-Time, I-Time, O, B-Person, O, O, B-Task, I-Task, O]
Wie lange hab ich noch für die Klientin Zeit;[B-Time, I-Time, O, O, O, O, O, B-Person, B-Time]
Wie lange habe ich noch Zeit;[B-Time, I-Time, O, O, O, B-Time]
Wann muss ich beim nächsten Einsatz sein;[B-Time, O, O, O, B-Task, I-Task, O]  
Wie lange fahre ich zum nächsten Einsatz;[B-Time, I-Time, B-Action, O, O, B-Task, I-Task]  
Füge folgende Notiz zum Einsatz hinzu;[B-Action, O, B-Action, O, B-Task, O]  
Notiz zum Einsatz hinzufügen;[B-Action, O, B-Task, B-Action]  
Schreibe die Notiz auf;[B-Action, O, B-Action, O]  
Merke dir die Notiz;[B-Action, O, O, B-Action]  
Wie alt ist der Klient;[B-Entity, I-Entity, O, O, B-Person]  
Wie alt ist der Patient;[B-Entity, I-Entity, O, O, B-Person]  
Wie alt ist die Klientin;[B-Entity, I-Entity, O, O, B-Person]  
Wie alt ist die Patientin;[B-Entity, I-Entity, O, O, B-Person]  
Angehörigen anrufen;[B-Person, B-Action]  
Angehörige von Frau Müller anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Angehörige von Herrn Maier anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Startzeit für den Einsatz auf jetzt setzen;[B-Entity, O, O, B-Task, O, B-Time, B-Action]  
jetzt Startzeit für den Einsatz eintragen;[B-Time, B-Entity, O, O, B-Task, B-Action]  
Rufe Frau Mayer an;[B-Action, B-Person, I-Person, O]  
Herrn Globier anrufen;[B-Person, I-Person, B-Action]  
Klienten des nächsten Einsatzes anrufen;[B-Person, O, B-Task, I-Task, B-Action]  
Patienten für nächsten Einsatz anrufen;[B-Person, O, B-Task, I-Task, B-Action]  
Anruf an Frau Hans;[B-Action, O, B-Person, I-Person]  
Rufe Mia Lober an;[B-Action, B-Person, I-Person, O]  
Starte den neuen Einsatz;[B-Action, O, B-Task, I-Task]  
Beginne den Einsatz für Frau Müller;[B-Action, O, B-Task, O, B-Person, I-Person]  
Beende den aktuellen Einsatz für heute;[B-Action, O, B-Task, I-Task, O, B-Time]  
Setze den Einsatz auf fertig;[B-Action, O, B-Task, O, B-Task]  
Starte die Schicht für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]  
Wie lange dauert der Einsatz bei Frau Abseher heute;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person, B-Time]  
Wann ist mein nächster Einsatz heute;[B-Time, O, O, B-Task, I-Task, B-Time]  
Wie viele Minuten habe ich noch für den aktuellen Einsatz;[B-Time, I-Time, B-Entity, O, O, B-Task, O, O, B-Task, I-Task]  
Wann ist der Einsatz von heute beendet;[B-Time, O, O, B-Task, O, B-Time, B-Entity]  
Wie viele Einsätze habe ich heute noch;[B-Entity, I-Entity, B-Task, O, O, B-Time, O]  
Was ist der Name des aktuellen Klienten;[O, O, O, B-Entity, O, B-Person, I-Person]  
Wer ist die Klientin beim nächsten Einsatz;[B-Entity, O, O, B-Person, O, B-Task, I-Task]
Wie alt ist der Patient heute;[B-Entity, I-Entity, O, O, B-Person, B-Time]  
Wer war gestern beim Patienten Peter Pan;[B-Entity, O, B-Time, O, B-Person, B-Person, I-Person]  
Wann hat Herr Kosmos zuletzt eine Betreuung gehabt;[B-Time, O,  B-Person, I-Person, B-Task, O, B-Entity, O]  
Trage den Kilometerstand 49768 als Startkilometer ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]  
Trage im Fahrtenbuch die Notiz länger gefahren wegen Stau ein;[O, O, B-Entity, O, B-Action, O, O, O, O, O]  
Welches Auto benutze ich für den heutigen Einsatz;[O, B-Entity, O, O, O, O, B-Time, B-Task]  
Schreibe eine Notiz im Fahrtenbuch rechter Blinker geht nicht mehr;[O, O, B-Action, O, B-Entity, O, O, O, O, O]  
Wie weit ist es zum nächsten Einsatz;[B-Time, B-Distance, O, O, O, B-Task, I-Task]  
Rufe die Angehörigen von Herrn Schmidt an;[B-Action, O, B-Person, O, B-Person, I-Person, O]  
Ruf Frau Müller an, um die Einsatzdetails zu besprechen;[B-Action, B-Person, I-Person, O, O, O, B-Task, O, O]  
Rufe die Kontaktperson für den nächsten Einsatz an;[B-Action, O, B-Person, O, O, B-Task, I-Task, O]  
Starte einen Anruf bei der Klientin Lisa Tesser;[B-Action, O,  B-Action, O, O, B-Person, I-Person, I-Person]  
Angehörige des Klienten anrufen;[B-Person, O, B-Person, B-Action]  
Merke dir die Notiz Klient wünscht eine Änderung;[B-Action, O, O, B-Action, B-Person, O, O, B-Entity]  
Füge eine Notiz zum Einsatz hinzu Herr Tumper hat nun eine Katze;[O, O, B-Action, O, B-Task, O, B-Person, I-Person, O, O, O, O]  
Schreibe die Notiz für den Einsatz Arztbesuch notwendig auf;[O, O, B-Action, O, O, B-Task, O, O, O]  
Notiere, dass ich um 10 Uhr beim Einsatz sein muss;[B-Action, O, O, O, B-Time, I-Time, O, B-Task, O, O] 
Notiz Klient möchte morgen früher betreut werden;[B-Action, B-Person, O, B-Time, I-Time, B-Entity, O]  
Wann muss ich morgen beim ersten Einsatz sein;[B-Time, O, O, B-Time, O, B-Task, I-Task, O]  
Wie lange dauert die Fahrt zum nächsten Einsatz;[B-Time, I-Time, O, O, B-Entity, O, B-Task, I-Task]  
Wann endet mein letzter Einsatz heute;[B-Time, B-Task, O, B-Task, I-Task, B-Time]  
Wie viel Zeit habe ich bis zum nächsten Einsatz;[B-Time, I-Time, O, O, O, O, O, B-Task, I-Task]  
Wann beginnt mein Einsatz morgen früh;[B-Time, B-Task, O, B-Task, B-Time, I-Time]  
Wann startet mein Einsatz morgen früh;[B-Time, B-Task, O, B-Task, B-Time, I-Time]  
Einsatz;[B-Task]
Welche Vorekrankungen hat Frau Felber;[O, B-Entity, O. B-Person, I-Person]
Welche Krankheiten hatte Frau Felber;[O, B-Entity, O. B-Person, I-Person]
Wann arbeite ich morgen;[B-Time, B-Entity, O, B-Time]
Notiz Patientin möchte morgen früher betreut werden;[B-Action, B-Person, O, B-Time, I-Time, B-Entity, O]
Wie lange habe ich Mittagspause;[B-Time, I-Time, O, O, B-Entity]
Starte meinen Einsatz bei Frau Müller um 08:00 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte meinen Einsatz jetzt;[B-Action, O, B-Task, B-Time]
Starte meinen Einsatz bei Georg Opel in 5 Minuten;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den aktuellen Einsatz in 2 Minuten;[B-Action, O, B-Task, I-Task, O, B-Time, I-Time]
Starte meinen Einsatz bei Herrn Tesal um 12:45 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den Einsatz bei Herrn Tefal um 15:15;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Starte die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Starte die Zeiterfassung für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Starte die Zeiterfassung für den nächsten Einsatz in 10 Minuten;[B-Action, O, B-Entity, O, O, B-Task, I-Task, O, B-Time, I-Time]
Zeiterfassung für den aktuellen Einsatz starten;[B-Entity, O, O, B-Task, I-Task, B-Action]
Einsatz jetzt starten;[B-Task, B-Time, B-Action]
Einsatz bei Julia Tester starten;[B-Task, O, B-Person, I-Person, B-Action]
Beende den Einsatz bei Herrn Schmidt;[B-Action, O, B-Task, O, B-Person, I-Person]
Beende den Einsatz;[B-Action, O, B-Task]
Beende den aktuellen Einsatz;[B-Action, O, B-Task, I-Task]
Beende den aktuellen Einsatz in 5 Minuten;[B-Action, O, B-Task, I-Task, O, B-Time, I-Time]
Aktuellen Einsatz beenden;[B-Task, I-Task, B-Action]
Einsatz beenden;[B-Task, B-Action]
Zeiterfassung für den aktuellen Einsatz beenden;[B-Entity, O, O, B-Task, I-Task, B-Action]
Zeiterfassung für meinen aktuellen Einsatz beenden;[B-Entity, O, O, B-Task, I-Task, B-Action]
Beende die Zeiterfassung für meinen aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Beende die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Beende die Zeiterfassung für den Einsatz;[B-Action, O, B-Entity, O, O, B-Task]
Einsatz jetzt beenden;[B-Task, B-Time, B-Action]
Einsatz beenden;[B-Task, B-Action]
Beende den Einsatz bei Frau Anders;[B-Action, O, B-Task, O, B-Person, I-Person]
Welche Klienten habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Klienten habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
Wie viele Klienten habe ich heute betreut;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Entity]
Wie viele Patienten habe ich heute betreut;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Entity]
Wie heißen die Klienten die ich heute besucht habe;[B-Entity, I-Entity, O, B-Person, O, O, B-Time, B-Entity, O]
Wie heißen die Patienten die ich heute besucht habe;[B-Entity, I-Entity, O, B-Person, O, O, B-Time, B-Entity, O]
Welche Patientinnen habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Klienteninnen habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
Habe ich heute noch Einsätze;[O, O, B-Time, B-Entity, B-Task]
Habe ich alle Einsätze abgearbeitet;[O, O, B-Task, I-Task, B-Entity]
Sind alle Einsätze fertig;[O, B-Task, I-Task, B-Task]
Sind alle Patientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Sind alle Klientinnen versorgt;[O, B-Person, I-Person, B-Entity]
Wie viele Einsätze habe ich heute noch;[B-Entity, I-Entity, B-Task, O, O, B-Time, B-Entity]
Welche Patienten muss ich heute noch besuchen;[B-Person, I-Person, O, O, B-Time, B-Entity, I-Entity]
Welche Klienten muss ich heute noch versorgen;[B-Person, I-Person, O, O, B-Time, B-Entity, I-Entity]
Liste alle Einsätze von heute auf.;[B-Action, B-Task, I-Task, O, B-Time, O]
Wie viele Einsätze habe ich heute;[B-Entity, I-Entity, B-Task, O, O, B-Time]
Welche Klienten muss ich heute besuchen;[B-Person, I-Person, O, O, B-Time, B-Entity]
Wie lange war mein Einsatz bei Frau Lehmann heute Morgen;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person, B-Time, I-Time]
Wie lange war mein Einsatz bei Herrn Abraham;[B-Time, I-Time, O, O, B-Task, O, B-Person, I-Person]
Wie lange habe ich Mittagspause;[B-Time, I-Time, O, O, B-Entity]
Wann beginnt mein nächster Einsatz;[B-Time, B-Time, O, B-Task, I-Task]
Wie viel Zeit bleibt mir bis zum nächsten Einsatz;[B-Time, I-Time, I-Time, O, O, O, O, B-Task, I-Task]
Wie viele Kilometer bin ich heute gefahren;[B-Entity, I-Entity, I-Entity, O, O, B-Time, B-Entity]
Wie lange habe ich für den Einsatz bei Frau Kraznec gebraucht;[B-Time, I-Time, O, O, O, O, B-Task, O, B-Person, I-Person, B-Entity]
Habe ich heute alle Fahrten im Fahrtenbuch eingetragen;[O, O, B-Time, B-Entity, I-Entity, O, B-Entity, B-Task]
Sind alle Kilometerstände für heute im Fahrtenbuch hinterlegt;[O, B-Entity, I-Entity, O, B-Time, O, B-Entity, B-Action]
Fehlen Einträge im Fahrtenbuch;[B-Entity, I-Entity, O, B-Entity]
Trage eine Fahrt von der Pflegezentrale zur Adresse von Herrn Becker ein.;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Entity, O, B-Person, I-Person, O]
Dokumentiere die Fahrt von Frau Meier zu Herrn Weber um 10:30 Uhr.;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Person, I-Person, O, B-Time, I-Time]
Wann habe ich Herrn Münster heute besucht;[B-Time,O, O, B-Person, I-Person, B-Time, B-Entity]
Wann war ich bei Frau Münster;[B-Time, I-Time, O, O, B-Person, I-Person]
Herr Weber möchte morgen früher aufstehen – bitte notieren;[B-Person, I-Person, O, B-Time, I-Time, B-Action, O, O, B-Action]
Anmerkung notieren: Frau Amber benötigt öfter Hilfe;[B-Entity, B-Action, B-Person, I-Person, O, B-Entity, I-Entity]
Dokumentiere, dass Frau Lehmann eine besondere Ernährungsanweisung hat;[B-Action, O, B-Person, I-Person, O, O, B-Entity, O]
Dokumentiere, dass Herr Gupta nur vegan isst;[B-Action, O, B-Person, I-Person, O, B-Entity, O]
Dokumentiere, dass Herr Umbabwe eine vegetarische Ernährung hat;[B-Action, O, B-Person, I-Person, O, B-Entity, I-Entity, O]
notiere: Herr Meier hat um zusätzliche Decken gebeten;[B-Action, B-Person, I-Person, O, O, B-Entity, I-Entity, O]
Notiere, dass Frau Müller heute ihre Familie sehen möchte;[B-Action, O, B-Person, I-Person, B-Time, O, B-Entity, B-Action, O]
Herr Becker hat nach zusätzlichen Schmerzmitteln gefragt – bitte dokumentieren;[B-Person, I-Person, O, O, B-Entity, I-Entity, O, O, O, B-Action]
Hat Frau Schmitt besondere Wünsche für den nächsten Einsatz;[O, B-Person, I-Person, B-Entity, I-Entity, O, O, B-Task, I-Task]
Notiere, dass Herr Weber eine neue Brille braucht;[B-Action, O, B-Action, I-Action, O, B-Entity, I-Entity, O]
Anmerkung erfassen: Frau Erber möchte nicht alleine essen;[B-Action, I-Action, B-Person, I-Person, O, B-Entity, I-Entity, B-Action]
Gibt es zum letzten Einsatz des Patienten Notizen;[B-Entity, O, O, B-Task, I-Task, O, B-Person, B-Action]
Sind alle heutigen Aufgaben erledigt;[O, B-Entity, I-Entity, I-Entity, I-Entity]
Erstelle einen Bericht über die Fahrten von heute;[B-Action, O, B-Entity, O, O, B-Entity, O, B-Time]
Liste alle Fahrten für heute auf;[B-Action, B-Entity, I-Entity, O, B-Time, O]
Zeige mir eine Liste aller offenen Aufgaben für morgen;[B-Action, O, O, B-Entity, I-Entity, I-Entity, I-Entity, O, B-Time]
Wie viele Einsätze habe ich morgen;[B-Entity, I-Entity, B-Entity, O, O, B-Time]
Wie viele Termine habe ich morgen;[B-Entity, I-Entity, B-Entity, O, O, B-Time]
Wie viele Patienten muss ich morgen betreuen;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Action]
Wie viele Klienten besuche ich morgen;[B-Entity, I-Entity, B-Person, B-Action, O, B-Time]
Trage den Blutdruck von Herrn Schmidt ein 120/80;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity]
Notiere Blutdruck von Herrn Sel 120/80;[B-Action, B-Entity, O, B-Person, I-Person, B-Entity]
Trage den Blutdruck von Frau Arnolds mit 115/75 ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, O]
Notiere die Temperatur bei Frau Müller mit 37,5 Grad;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Blutdruck für den aktuellen Patienten erfassen: 120/75;[B-Entity, O, O, B-Person, I-Person, B-Action, B-Entity]
Trage die Temperatur bei Herbert Tiele mit 37,5 Grad ein;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity, O]
Trage aktuelles Gewicht bei Walter Silbers ein 85 kilogramm;[B-Action, B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Aktuelles Gewicht eintragen 85 kilogramm;[B-Entity, I-Entity, B-Action, B-Entity, I-Entity]
Erfasse den Puls von Frau Mixxner mit 85 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Notiere den Puls von Julius Meindl mit 90 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Puls eintragen 77 BPM;[B-Entity, B-Action, B-Entity, I-Entity]
Trage den Puls von Julian Terminor ein 79 BPM;[B-Action, O, B-Entity, O, B-Person, I-Person, O, B-Entity,  I-Entity]
Wie hoch war der letzte gemessene Puls;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, I-Entity]
Wie war der zuletzt gemessene Puls bei Herrn Andrews;[B-Entity, I-Entity, O, B-Entity, I-Entity, I-Entity, O, B-Person, I-Person]
Sag mir den zuletzt gemessenen Pulswert;[B-Action, O, O, B-Entity, I-Entity, I-Entity]
Letzter Pulswert für Frau Berter;[B-Entity, I-Entity, O, B-Person, I-Person]
Was ist der letzte eingetragene Pulswert für den Patienten;[O, O, O, B-Entity, I-Entity, I-Entity, O, O, B-Person]
Was ist der letzte eingetragene Pulswert für die Klientin;[O, O, O, B-Entity, I-Entity, I-Entity, O, O, B-Person]
Was ist der letzte Pulswert für die Patientin;[O, O, O, B-Entity, I-Entity, O, O, B-Person]
Was ist der letzte Pulswert für den Klienten;[O, O, O, B-Entity, I-Entity, O, O, B-Person]
Wie hoch war das Gewicht bei der letzten Messung;[B-Entity, I-Entity, O, O, B-Entity, O, O, B-Entity, I-Entity]
Wie hoch war das letzte Gewicht von Frau Weber;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, O, B-Person, I-Person]
Wie hoch war das letzte Gewicht des Patienten;[B-Entity, I-Entity, O, O, B-Entity, I-Entity, O, B-Person]
Wie schwer war Frau Dezlic beim letzten mal;[B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Wie schwer war der Klient beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war Herr Bezemek beim letzten mal;[B-Entity, I-Entity, O, B-Person, I-Person, O, B-Entity, I-Entity]
Wie schwer war die Klientin beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war der Patient beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Wie schwer war die Patientin beim letzten mal;[B-Entity, I-Entity, O, O, B-Person, O, B-Entity, I-Entity]
Hat Frau Jennefer seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, B-Entity, I-Entity, I-Entity]
Hat Herr Hengster seit dem letzten mal zugenommen;[O, B-Person, I-Person, O, O, B-Entity, I-Entity, I-Entity]
Hat der Patient zugenommen;[O, O, B-Person, B-Entity]
Hat die Patientin abgenommen;[O, O, B-Person, B-Entity]
Hat der Klient abgenommen;[O, O, B-Person, B-Entity]
Hat die Klientin zugenommen;[O, O, B-Person, B-Entity]
Welchen Blutdruck hatte Herr Becker heute Morgen;[O, B-Entity, O, B-Person, I-Person, B-Time, I-Time]
Wie hoch war der Blutdruck von Frau Terrera letztes mal;[B-Entity, I-Entity, O, O, B-Entity, O, B-Person, I-Person, B-Entity, I-Entity]
Wie hoch war der Blutdruck von Herrn Zystal;[B-Entity, I-Entity, O, O, B-Entity, O, B-Person, I-Person]
Welche Vitalparameter habe ich bei Frau Müller heute schon erfasst;[B-Entity, I-Entity, O, O, O, B-Person, I-Person, B-Time, O, B-Entity]
Kontaktiere Frau Meier; [B-Action, B-Person, I-Person]
Wie lange dauert der kommende Einsatz noch; [B-Time, I-Time, O, O, B-Task, I-Task, O]
Wie lange dauert wohl der Einsatz bei Frau Juric heute; [B-Time, I-Time, O, O, O, B-Task, O, B-Person, I-Person, B-Time]
Starte Einsatz; [B-Action, B-Task]
Trage den Kilometerstand 50234 als Startkilometer ein; [B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Trage den Kilometerstand 999 als Startkilometer ein; [B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Wann startet morgen mein erster Einsatz; [B-Time, B-Task, B-Time, O, B-Task, I-Task]
Starte den Einsatz bei Herrn Gettinger um 08:00;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Beginne den Einsatz bei Frau Franz um 09:30;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Starte den Einsatz um 10:45;[B-Action, O, B-Task, O, B-Time]
Merke den Kilometerstand 1111 als Startkilometer; [B-Action, O, B-Entity, B-Distance, O, B-Entity]
Wie viele Einsätze habe ich noch;[B-Entity, I-Entity, I-Entity, O, O, B-Entity]
Wie viele Termine habe ich heute noch;[B-Entity, I-Entity, I-Entity, O, O, B-Time, B-Entity]
Habe ich noch Einsätze;[O, O, O, B-Task]
Bin ich fertig für heute;[O, O, B-Task, O, B-Time]
Bin ich für heute fertig;[O, O, O, B-Time, B-Task]

