tokens;intent
Welche Patienten habe ich heute schon besucht;HEUTIGE_KLIENTEN_BEKOMMEN
Kannst du mir die Liste der heutigen Klienten geben;HEUTIGE_KLIENTEN_BEKOMMEN
Was waren die letzten Gesundheitswerte von Frau Meier;LETZTE_VITALWERTE
Welche Werte wurden zuletzt für Herrn Fischer erfasst;LETZTE_VITALWERTE
Wie lautet der Puls von gestern;LETZTER_PULS
Wie hoch war der letzte Herzschlag von Frau Weber;LETZTER_PULS
Mit welchem Auto fahre ich zur Arbeit;ZUWEISUNG_AUTO
Welches Fahrzeug habe ich heute zugewiesen bekommen;ZUWEISUNG_AUTO
Wie weit ist mein nächster Einsatz entfernt;NÄCHSTE_EINSATZ_DISTANZ
Wie lange dauert die Fahrt zu meinem nächsten Klienten;NÄCHSTE_EINSATZ_DISTANZ
Wie lautet die Telefonnummer;TELEFONNUMMER_BEKOMMEN
Gib mir die Nummer;TELEFONNUMMER_BEKOMMEN
Ich brauche die Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Hast du die Telefonnummer;TELEFONNUMMER_BEKOMMEN
Was ist die Telefonnummer;TELEFONNUMMER_BEKOMMEN
Können Sie mir die Telefonnummer nennen;TELEFONNUMMER_BEKOMMEN
Welche Nummer hat er;TELEFONNUMMER_BEKOMMEN
Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Gib mir die Handynummer;TELEFONNUMMER_BEKOMMEN
Was ist die Mobilnummer;TELEFONNUMMER_BEKOMMEN
Kannst du mir seine Telefonnummer geben;TELEFONNUMMER_BEKOMMEN
Wo finde ich die Telefonnummer;TELEFONNUMMER_BEKOMMEN
Wie lautet die Handynummer;TELEFONNUMMER_BEKOMMEN
Hat der Patient eine Telefonnummer;TELEFONNUMMER_BEKOMMEN
Ich brauche die Kontaktnummer;TELEFONNUMMER_BEKOMMEN
Seine Telefonnummer bitte;TELEFONNUMMER_BEKOMMEN
Gib mir die Telefonnummer von ihm;TELEFONNUMMER_BEKOMMEN
Wie lautet die Telefonnummer der Person;TELEFONNUMMER_BEKOMMEN
