tokens;intent
An welcher Adresse ist die Patientin erreichbar;ADDRESSE_BEKOMMEN
Wo finde ich den Patienten;ADDRESSE_BEKOMMEN
Wo finde ich die Klientin;ADDRESSE_BEKOMMEN
Ich suche die Adresse des Klienten;ADDRESSE_BEKOMMEN
Ich suche die Adresse der Klientin;ADDRESSE_BEKOMMEN
Wo ist der Wohnort des Patienten;ADDRESSE_BEKOMMEN
Wo ist der Wohnort der Klientin;ADDRESSE_BEKOMMEN
Könntest du mir sagen, wo der Klient wohnt;ADDRESSE_BEKOMMEN
Könntest du mir sagen, wo die Klientin wohnt;ADDRESSE_BEKOMMEN
Wie ist die Postanschrift des Patienten;ADDRESSE_BEKOMMEN
Wie ist die Postanschrift der Patientin;ADDRESSE_BEKOMMEN
Ich hätte gern die Meldeadresse vom Klienten;ADDRESSE_BEKOMMEN
Ich hätte gern die Meldeadresse der Klientin;ADDRESSE_BEKOMMEN
Welche Adresse hat der Klient angegeben;ADDRESSE_BEKOMMEN
Welche Adresse hat die Klientin hinterlegt;ADDRESSE_BEKOMMEN
Wo lebt der Patient aktuell;ADDRESSE_BEKOMMEN
Wo lebt die Patientin derzeit;ADDRESSE_BEKOMMEN
Gibt es eine Adresse zum Klienten;ADDRESSE_BEKOMMEN
Gibt es eine Adresse zur Patientin;ADDRESSE_BEKOMMEN
Wie lautet der Wohnsitz des Patienten;ADDRESSE_BEKOMMEN
Wie lautet der Wohnsitz der Klientin;ADDRESSE_BEKOMMEN
Ich wüsste gern die Adresse vom Patienten;ADDRESSE_BEKOMMEN
Ich wüsste gern die Adresse von der Patientin;ADDRESSE_BEKOMMEN
Kannst du mir sagen, wo der Patient wohnt;ADDRESSE_BEKOMMEN
Kannst du mir sagen, wo die Patientin wohnt;ADDRESSE_BEKOMMEN
Wo ist der Klient zu Hause;ADDRESSE_BEKOMMEN
Wo ist die Klientin zu Hause;ADDRESSE_BEKOMMEN
An welche Adresse wurde der Klient gemeldet;ADDRESSE_BEKOMMEN
An welche Adresse wurde die Klientin gemeldet;ADDRESSE_BEKOMMEN
Wie ist die Adresse vom Wohnort des Patienten;ADDRESSE_BEKOMMEN
Wie ist die Adresse vom Wohnort der Klientin;ADDRESSE_BEKOMMEN
Welche Adresse steht im System für den Klienten;ADDRESSE_BEKOMMEN
Welche Adresse steht im System für die Klientin;ADDRESSE_BEKOMMEN
