tokens;intent
Wo finde ich den Patienten;ADDRESSE_BEKOMMEN
Wo finde ich die Klientin;ADDRESSE_BEKOMMEN
Ich suche die Adresse des Klienten;ADDRESSE_BEKOMMEN
Ich suche die Adresse der Klientin;ADDRESSE_BEKOMMEN
Wo ist der Wohnort des Patienten;ADDRESSE_BEKOMMEN
Wo ist der Wohnort der Klientin;ADDRESSE_BEKOMMEN
Könntest du mir sagen wo der Klient wohnt;ADDRESSE_BEKOMMEN
Könntest du mir sagen wo die Klientin wohnt;ADDRESSE_BEKOMMEN
Wie ist die Postanschrift des Patienten;ADDRESSE_BEKOMMEN
Wie ist die Postanschrift der Patientin;ADDRESSE_BEKOMMEN
Ich hätte gern die Meldeadresse vom Klienten;ADDRESSE_BEKOMMEN
Ich hätte gern die Meldeadresse der Klientin;ADDRESSE_BEKOMMEN
Welche Adresse hat der Klient angegeben;ADDRESSE_BEKOMMEN
Welche Adresse hat die Klientin hinterlegt;ADDRESSE_BEKOMMEN
Wo lebt der Patient aktuell;ADDRESSE_BEKOMMEN
Wo lebt die Patientin derzeit;ADDRESSE_BEKOMMEN
Gibt es eine Adresse zum Klienten;ADDRESSE_BEKOMMEN
Gibt es eine Adresse zur Patientin;ADDRESSE_BEKOMMEN
Wie lautet der Wohnsitz des Patienten;ADDRESSE_BEKOMMEN
Wie lautet der Wohnsitz der Klientin;ADDRESSE_BEKOMMEN
Ich wüsste gern die Adresse vom Patienten;ADDRESSE_BEKOMMEN
Ich wüsste gern die Adresse von der Patientin;ADDRESSE_BEKOMMEN
Kannst du mir sagen wo der Patient wohnt;ADDRESSE_BEKOMMEN
Kannst du mir sagen wo die Patientin wohnt;ADDRESSE_BEKOMMEN
Wo ist der Klient zu Hause;ADDRESSE_BEKOMMEN
Wo ist die Klientin zu Hause;ADDRESSE_BEKOMMEN
An welche Adresse wurde der Klient gemeldet;ADDRESSE_BEKOMMEN
An welche Adresse wurde die Klientin gemeldet;ADDRESSE_BEKOMMEN
Wie ist die Adresse vom Wohnort des Patienten;ADDRESSE_BEKOMMEN
Wie ist die Adresse vom Wohnort der Klientin;ADDRESSE_BEKOMMEN
Welche Adresse steht im System für den Klienten;ADDRESSE_BEKOMMEN
Welche Adresse steht im System für die Klientin;ADDRESSE_BEKOMMEN
Wie lautet das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Wie lautet das Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Was ist das Geburtsdatum vom Patienten;GEBURTSDATUM_BEKOMMEN
Was ist das Geburtsdatum von der Patientin;GEBURTSDATUM_BEKOMMEN
Wann wurde der Klient geboren;GEBURTSDATUM_BEKOMMEN
Wann wurde die Klientin geboren;GEBURTSDATUM_BEKOMMEN
Ich möchte wissen wann der Patient geboren wurde;GEBURTSDATUM_BEKOMMEN
Ich möchte wissen wann die Patientin geboren wurde;GEBURTSDATUM_BEKOMMEN
Kannst du mir das Geburtsdatum des Klienten sagen;GEBURTSDATUM_BEKOMMEN
Kannst du mir das Geburtsdatum der Klientin nennen;GEBURTSDATUM_BEKOMMEN
Ich brauche das Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Ich brauche das Geburtsdatum der Patientin;GEBURTSDATUM_BEKOMMEN
Gib mir bitte das Geburtsdatum vom Klienten;GEBURTSDATUM_BEKOMMEN
Gib mir bitte das Geburtsdatum der Patientin;GEBURTSDATUM_BEKOMMEN
Welches Datum ist das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Welches Datum ist das Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Was steht als Geburtsdatum beim Patienten;GEBURTSDATUM_BEKOMMEN
Was steht als Geburtsdatum bei der Patientin;GEBURTSDATUM_BEKOMMEN
Ich suche das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Ich suche das Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Wann genau wurde der Patient geboren;GEBURTSDATUM_BEKOMMEN
Wann genau wurde die Patientin geboren;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde der Klient geboren;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde die Klientin geboren;GEBURTSDATUM_BEKOMMEN
Wann ist der Geburtstag des Patienten;GEBURTSDATUM_BEKOMMEN
Wann ist der Geburtstag der Patientin;GEBURTSDATUM_BEKOMMEN
Weißt du wann der Klient Geburtstag hat;GEBURTSDATUM_BEKOMMEN
Weißt du wann die Klientin Geburtstag hat;GEBURTSDATUM_BEKOMMEN
Wann hat der Patient Geburtstag;GEBURTSDATUM_BEKOMMEN
Wann hat die Klientin Geburtstag;GEBURTSDATUM_BEKOMMEN
Ich hätte gern den Geburtstag vom Klienten;GEBURTSDATUM_BEKOMMEN
Ich hätte gern den Geburtstag der Klientin;GEBURTSDATUM_BEKOMMEN
Kannst du den Geburtstag des Patienten nachsehen;GEBURTSDATUM_BEKOMMEN
Kannst du den Geburtstag der Patientin überprüfen;GEBURTSDATUM_BEKOMMEN
Was steht im System als Geburtsdatum für den Klienten;GEBURTSDATUM_BEKOMMEN
Was steht im System als Geburtsdatum für die Klientin;GEBURTSDATUM_BEKOMMEN
Wann ist das genaue Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Wann ist das genaue Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Gibt es ein Geburtsdatum für den Klienten;GEBURTSDATUM_BEKOMMEN
Gibt es ein Geburtsdatum für die Klientin;GEBURTSDATUM_BEKOMMEN
Ich wüsste gern wann die Klientin geboren ist;GEBURTSDATUM_BEKOMMEN
Wie alt ist der Klient und wann hat er Geburtstag;GEBURTSDATUM_BEKOMMEN
Wie alt ist die Patientin und wann wurde sie geboren;GEBURTSDATUM_BEKOMMEN
Was ist das exakte Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Was ist das exakte Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
An welchem Datum wurde der Patient geboren;GEBURTSDATUM_BEKOMMEN
An welchem Datum wurde die Patientin geboren;GEBURTSDATUM_BEKOMMEN
Wie lautet die Sozialversicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Sozialversicherungsnummer vom Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Sozialversicherungsnummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir die Sozialversicherungsnummer des Klienten sagen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir die Sozialversicherungsnummer der Klientin nennen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich brauche die Sozialversicherungsnummer vom Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich brauche die Sozialversicherungsnummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie ist die Sozialversicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie ist die Sozialversicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was steht als Sozialversicherungsnummer beim Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was steht als Sozialversicherungsnummer bei der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich suche die Sozialversicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich suche die Sozialversicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wo finde ich die Sozialversicherungsnummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wo finde ich die Sozialversicherungsnummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte wissen wie die Sozialversicherungsnummer des Klienten lautet;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte wissen wie die Sozialversicherungsnummer der Klientin lautet;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir bitte die Sozialversicherungsnummer vom Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir bitte die Sozialversicherungsnummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Hat der Klient eine Sozialversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Hat die Klientin eine Sozialversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer ist für den Patienten hinterlegt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer ist für die Patientin im System;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Versicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Versicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was hat der Patient für eine Sozialversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was hat die Patientin für eine Sozialversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich hätte gern die Sozialversicherungsnummer vom Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich hätte gern die Sozialversicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir sagen welche Sozialversicherungsnummer der Patient hat;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir sagen welche Sozialversicherungsnummer die Klientin hat;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Die Sozialversicherungsnummer des Klienten fehlt mir noch;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Die Sozialversicherungsnummer der Patientin fehlt mir noch;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ist eine Sozialversicherungsnummer beim Klienten vorhanden;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ist eine Sozialversicherungsnummer bei der Klientin hinterlegt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Nummer bei der Sozialversicherung für den Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Versicherungsnummer der Patientin bei der SV;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Nummer hat der Patient bei der Sozialversicherung;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Nummer hat die Klientin bei der Krankenkasse;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte die Sozialversicherungsnummer vom Patienten überprüfen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte die SV-Nummer der Patientin prüfen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialnummer ist beim Klienten gespeichert;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialnummer ist bei der Patientin eingetragen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Bitte nenne mir die SV-Nummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Bitte nenne mir die SV-Nummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich wüsste gern die Sozialversicherungsnummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich wüsste gern die Versicherungsnummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kann ich bitte die Sozialversicherungsnummer vom Klienten bekommen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kann ich bitte die SV-Nummer der Patientin erhalten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
 Wie alt ist der Klient;ALTER_BEKOMMEN
 Kannst du mir das Alter des Klienten sagen;ALTER_BEKOMMEN
 Wie alt wurde der Patient gestern;ALTER_BEKOMMEN
 Was ist das Geburtsdatum des Klienten;ALTER_BEKOMMEN
 Wie alt ist die Patientin heute;ALTER_BEKOMMEN
 Weißt du wie alt der Klient ist;ALTER_BEKOMMEN
 Wie alt ist der Klient in Jahren;ALTER_BEKOMMEN
 Welche Altersgruppe hat der Klient;ALTER_BEKOMMEN
 Wie alt war der Klient als er das letzte Mal hier war;ALTER_BEKOMMEN
Wie alt war die Patientin im letzten Jahr;ALTER_BEKOMMEN
Wie alt ist der Patient in Monaten;ALTER_BEKOMMEN
Können Sie mir das Alter des Klienten nennen;ALTER_BEKOMMEN
Was ist das genaue Alter der Patientin;ALTER_BEKOMMEN
Wie alt ist die Patientin gemäß den Unterlagen;ALTER_BEKOMMEN
Kannst du mir den genauen Geburtstag des Klienten sagen;ALTER_BEKOMMEN
 Ist der Klient unter 18 Jahre alt;ALTER_BEKOMMEN
 Welches Alter hat der Klient in diesem Jahr;ALTER_BEKOMMEN
 Wie alt war der Klient als er die Behandlung begann;ALTER_BEKOMMEN
 Wie alt ist der Patient in Tagen;ALTER_BEKOMMEN
 Wie viele Jahre hat der Klient schon auf dem Buckel;ALTER_BEKOMMEN
Wann wurde der Klient geboren;GEBURTSDATUM_BEKOMMEN
Was ist das Geburtsdatum der Patientin;GEBURTSDATUM_BEKOMMEN
Könntest du mir den Geburtstag des Klienten nennen;GEBURTSDATUM_BEKOMMEN
Wann hat der Klient das Licht der Welt erblickt;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde der Patient geboren;GEBURTSDATUM_BEKOMMEN
Wann wurde die Patientin genau geboren;GEBURTSDATUM_BEKOMMEN
Kannst du mir das Geburtsdatum des Klienten nennen;GEBURTSDATUM_BEKOMMEN
Welches Datum hat die Patientin zum Geburtstag;GEBURTSDATUM_BEKOMMEN
Wann war der Geburtstag des Klienten;GEBURTSDATUM_BEKOMMEN
Kannst du mir das Geburtsdatum des Patienten bestätigen;GEBURTSDATUM_BEKOMMEN
Was war der genaue Tag der Geburt des Klienten;GEBURTSDATUM_BEKOMMEN
Weißt du wann der Klient geboren wurde;GEBURTSDATUM_BEKOMMEN
Welches Jahr wurde die Patientin geboren;GEBURTSDATUM_BEKOMMEN
Könntest du mir das Geburtsdatum der Patientin verraten;GEBURTSDATUM_BEKOMMEN
Was ist das exakte Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Welches Datum wurde die Patientin geboren;GEBURTSDATUM_BEKOMMEN
Wann feiert der Klient seinen Geburtstag;GEBURTSDATUM_BEKOMMEN
Wie lautet das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Was war das Geburtsdatum des Klienten im Jahr 1985;GEBURTSDATUM_BEKOMMEN
Was ist der Geburtsmonat des Klienten;GEBURTSDATUM_BEKOMMEN
Wie lautet der Name des Klienten;NAME_BEKOMMEN
Kannst du mir den Namen der Patientin nennen;NAME_BEKOMMEN
Was ist der vollständige Name des Patienten;NAME_BEKOMMEN
Wie heißt der Klient mit vollem Namen;NAME_BEKOMMEN
Wie lautet der Name des Patienten auf den Formularen;NAME_BEKOMMEN
Was ist der Vorname der Patientin;NAME_BEKOMMEN
Wie heißt der Klient;NAME_BEKOMMEN
Was ist der Nachname des Klienten;NAME_BEKOMMEN
Wie nennt sich die Patientin;NAME_BEKOMMEN
Könntest du mir den Namen des Klienten nennen;NAME_BEKOMMEN
Was ist der Name des Patienten in den Unterlagen;NAME_BEKOMMEN
Was ist der Vorname der Patientin;NAME_BEKOMMEN
Was ist der vollständige Name des Klienten in den Akten;NAME_BEKOMMEN
Wie lautet der Name des Klienten in der Datenbank;NAME_BEKOMMEN
Kannst du mir den Namen des Patienten sagen;NAME_BEKOMMEN
Wie nennt sich der Klient offiziell;NAME_BEKOMMEN
Was ist der Nachname des Patienten;NAME_BEKOMMEN
Wie heißt die Patientin im System;NAME_BEKOMMEN
Wie lautet der Name der Patientin auf dem Ausweis;NAME_BEKOMMEN
Kannst du mir den Namen der Patientin bestätigen;NAME_BEKOMMEN
Kannst du den Geburtstag des Patienten nachsehen;GEBURTSDATUM_BEKOMMEN
Kannst du den Geburtstag der Klientin nachsehen;GEBURTSDATUM_BEKOMMEN
Ich will wissen wann der Patient geboren wurde;GEBURTSDATUM_BEKOMMEN
Ich will wissen wann die Klientin geboren wurde;GEBURTSDATUM_BEKOMMEN
Was weißt du über das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Was weißt du über das Geburtsdatum der Patientin;GEBURTSDATUM_BEKOMMEN
Könntest du mir den Geburtstag des Klienten sagen;GEBURTSDATUM_BEKOMMEN
Könntest du mir den Geburtstag der Klientin nennen;GEBURTSDATUM_BEKOMMEN
Ich suche den Geburtstag des Patienten;GEBURTSDATUM_BEKOMMEN
Ich suche den Geburtstag der Patientin;GEBURTSDATUM_BEKOMMEN
Wie lautet der Geburtstag des Klienten;GEBURTSDATUM_BEKOMMEN
Wie lautet der Geburtstag der Klientin;GEBURTSDATUM_BEKOMMEN
Wann wurde der Patient genau geboren;GEBURTSDATUM_BEKOMMEN
Wann wurde die Patientin genau geboren;GEBURTSDATUM_BEKOMMEN
Ich interessiere mich für das Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Ich interessiere mich für das Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Zeig mir das Geburtsdatum vom Patienten;GEBURTSDATUM_BEKOMMEN
Zeig mir das Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Weißt du wann genau der Patient Geburtstag hat;GEBURTSDATUM_BEKOMMEN
Weißt du wann genau die Klientin Geburtstag hat;GEBURTSDATUM_BEKOMMEN
Ich hätte gern das genaue Geburtsdatum des Klienten;GEBURTSDATUM_BEKOMMEN
Ich hätte gern das genaue Geburtsdatum der Klientin;GEBURTSDATUM_BEKOMMEN
Wie lautet die Sozialversicherungsnummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die SV Nummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir die Sozialversicherungsnummer nennen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich brauche die SV Nummer vom Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie ist die Sozialversicherungsnummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was steht als SV Nummer bei der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich suche die Sozialversicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wo finde ich die SV Nummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte wissen wie die Sozialversicherungsnummer lautet;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir bitte die SV Nummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Hat der Klient eine Sozialversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche SV Nummer ist im System für den Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was hat die Patientin für eine SV Nummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich hätte gern die Sozialversicherungsnummer der Klientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir sagen welche SV Nummer der Patient hat;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Die SV Nummer der Patientin fehlt mir;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ist eine Sozialversicherungsnummer bei der Klientin hinterlegt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Nummer hat der Klient bei der Sozialversicherung;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich möchte die SV Nummer des Patienten prüfen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialnummer ist beim Patienten gespeichert;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich wüsste gern die Versicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie heißt der Patient;NAME_BEKOMMEN
Können Sie mir den Namen nennen;NAME_BEKOMMEN
Ich brauche den vollen Namen;NAME_BEKOMMEN
Namen des Patienten bitte;NAME_BEKOMMEN
Sag mir den Namen;NAME_BEKOMMEN
Name;NAME_BEKOMMEN
Wer ist die Person;NAME_BEKOMMEN
Wen behandeln wir;NAME_BEKOMMEN
Wessen Daten sehe ich;NAME_BEKOMMEN
Wie lautet sein Name;NAME_BEKOMMEN
Der Name fehlt noch;NAME_BEKOMMEN
Ich suche den Nachnamen;NAME_BEKOMMEN
